District Name,Year,Total Operating Revenue,Student Count,Campus Name,County Name,Region,Region Name,ERW,SAT Math,SAT Total,ACT English,ACT Math,ACT Reading,ACT Science,ACT Compos,per student budget
pflugerville isd,2022,264204601.0,25348,Pflugerville HS,Travis County,13.0,Austin,509.0,519.0,1028.0,19.9,21.0,22.1,20.9,21.1,10423
pflugerville isd,2022,264204601.0,25348,John B Connally HS,Travis County,13.0,Austin,469.0,463.0,932.0,16.5,17.8,18.8,18.7,18.0,10423
pflugerville isd,2022,264204601.0,25348,Hendrickson HS,Travis County,13.0,Austin,528.0,517.0,1045.0,23.4,22.1,25.1,24.0,23.8,10423
pflugerville isd,2022,264204601.0,25348,Weiss HS,Travis County,13.0,Austin,501.0,490.0,991.0,19.7,20.7,22.3,21.9,21.3,10423
carrollton-farmers branch isd,2022,310854953.0,24888,Turner HS,Dallas County,10.0,Richardson,479.0,474.0,953.0,23.5,26.5,29.5,27.0,26.5,12490
carrollton-farmers branch isd,2022,310854953.0,24888,Ranchview HS,Dallas County,10.0,Richardson,494.0,484.0,977.0,23.7,24.3,25.4,24.7,24.7,12490
carrollton-farmers branch isd,2022,310854953.0,24888,Smith HS,Dallas County,10.0,Richardson,468.0,463.0,931.0,22.4,21.9,22.5,22.9,22.4,12490
carrollton-farmers branch isd,2022,310854953.0,24888,Creekview HS,Dallas County,10.0,Richardson,506.0,507.0,1013.0,23.1,22.6,24.5,22.7,23.3,12490
judson isd,2022,291044726.0,24517,Judson HS,Bexar County,20.0,San Antonio,458.0,438.0,896.0,17.9,18.7,19.6,18.7,18.8,11871
judson isd,2022,291044726.0,24517,Veterans Memorial HS,Bexar County,20.0,San Antonio,495.0,477.0,972.0,19.4,20.5,20.5,19.8,20.2,11871
judson isd,2022,291044726.0,24517,Karen Wagner HS,Bexar County,20.0,San Antonio,472.0,457.0,930.0,18.7,19.2,18.3,18.5,18.9,11871
judson isd,2022,291044726.0,24517,Judson Early College Academy,Bexar County,20.0,San Antonio,551.0,525.0,1076.0,22.2,20.9,22.1,22.1,22.0,11871
la joya isd,2022,385350144.0,24024,Thelma Rosa Salinas STEM ECHS,Hidalgo County,1.0,Edinburg,505.0,513.0,1018.0,16.9,18.4,21.0,19.6,19.1,16040
la joya isd,2022,385350144.0,24024,La Joya Palmview HS,Hidalgo County,1.0,Edinburg,494.0,475.0,969.0,15.6,17.5,18.7,18.3,17.6,16040
la joya isd,2022,385350144.0,24024,Juarez-Lincoln HS,Hidalgo County,1.0,Edinburg,487.0,484.0,971.0,13.3,17.0,16.9,17.3,16.2,16040
la joya isd,2022,385350144.0,24024,La Joya HS,Hidalgo County,1.0,Edinburg,514.0,511.0,1025.0,13.9,17.1,16.5,17.0,16.3,16040
goose creek cisd,2022,289890848.0,23833,Goose Creek Memorial,Harris County,4.0,Houston,548.0,528.0,1076.0,13.5,15.9,15.4,16.6,15.5,12163
goose creek cisd,2022,289890848.0,23833,Impact ECHS,Harris County,4.0,Houston,590.0,577.0,1167.0,17.8,18.8,19.5,20.1,19.2,12163
goose creek cisd,2022,289890848.0,23833,Lee HS,Harris County,4.0,Houston,527.0,506.0,1033.0,12.7,15.2,15.1,15.4,14.7,12163
goose creek cisd,2022,289890848.0,23833,Sterling HS,Harris County,4.0,Houston,528.0,508.0,1036.0,14.3,16.3,16.2,16.7,16.0,12163
goose creek cisd,2022,289890848.0,23833,Stuart Career Tech HS,Harris County,4.0,Houston,470.0,410.0,880.0,13.4,15.7,15.2,16.4,15.2,12163
mckinney isd,2022,253859571.0,23238,McKinney Boyd HS,Collin County,10.0,Richardson,544.0,539.0,1082.0,22.3,23.0,24.8,23.8,23.6,10924
mckinney isd,2022,253859571.0,23238,McKinney North HS,Collin County,10.0,Richardson,517.0,510.0,1027.0,22.1,22.7,23.9,23.0,23.1,10924
mckinney isd,2022,253859571.0,23238,McKinney HS,Collin County,10.0,Richardson,506.0,505.0,1011.0,22.5,23.3,24.5,23.1,23.5,10924
hurst-euless-bedford isd,2022,254964601.0,22814,Bell HS,Tarrant County,11.0,Fort Worth,518.0,517.0,1034.0,21.7,22.7,24.2,23.5,23.3,11175
hurst-euless-bedford isd,2022,254964601.0,22814,Trinity HS,Tarrant County,11.0,Fort Worth,504.0,506.0,1010.0,21.0,20.9,23.0,21.5,21.7,11175
birdville isd,2022,254052709.0,22447,Birdville HS,Tarrant County,11.0,Fort Worth,537.0,521.0,1058.0,23.9,22.8,26.9,24.0,24.5,11317
birdville isd,2022,254052709.0,22447,Richland HS,Tarrant County,11.0,Fort Worth,495.0,486.0,981.0,22.3,22.0,23.9,23.9,23.0,11317
birdville isd,2022,254052709.0,22447,Haltom HS,Tarrant County,11.0,Fort Worth,504.0,486.0,990.0,19.8,22.2,20.0,20.3,20.7,11317
eagle mt-saginaw isd,2022,243256543.0,22381,Boswell HS,Tarrant County,11.0,Fort Worth,526.0,503.0,1029.0,19.0,19.4,21.1,20.4,20.1,10868
eagle mt-saginaw isd,2022,243256543.0,22381,Chisholm Trail HS,Tarrant County,11.0,Fort Worth,524.0,511.0,1035.0,18.3,19.1,20.1,20.1,19.5,10868
eagle mt-saginaw isd,2022,243256543.0,22381,Elmer C Watson HS,Tarrant County,11.0,Fort Worth,470.0,383.0,853.0,12.4,16.4,15.8,16.0,15.4,10868
eagle mt-saginaw isd,2022,243256543.0,22381,Saginaw HS,Tarrant County,11.0,Fort Worth,513.0,502.0,1016.0,18.1,18.7,20.6,20.0,19.5,10868
uplift education,2022,285784254.0,22183,Uplift Infinity HS,Dallas County,10.0,Richardson,512.0,487.0,999.0,18.0,17.7,19.2,19.0,18.6,12883
uplift education,2022,285784254.0,22183,Uplift Atlas Preparatory-HS,Dallas County,10.0,Richardson,486.0,444.0,930.0,16.9,16.8,18.1,18.2,17.6,12883
uplift education,2022,285784254.0,22183,Uplift Summit International HS,Dallas County,10.0,Richardson,531.0,494.0,1024.0,18.8,18.3,20.3,20.2,19.5,12883
uplift education,2022,285784254.0,22183,Uplift Education-North Hills,Dallas County,10.0,Richardson,648.0,660.0,1308.0,26.9,24.6,28.3,25.8,26.5,12883
prosper isd,2022,251300417.0,21700,Rock Hill HS,Collin County,10.0,Richardson,560.0,552.0,1112.0,21.9,22.1,23.8,23.1,22.8,11580
prosper isd,2022,251300417.0,21700,Prosper HS,Collin County,10.0,Richardson,564.0,549.0,1112.0,23.3,22.5,25.0,23.4,23.7,11580
allen isd,2022,220069636.0,21420,Allen HS,Collin County,10.0,Richardson,565.0,571.0,1136.0,24.4,24.8,26.2,25.2,25.3,10274
galena park isd,2022,284346344.0,21400,Galena Park HS,Harris County,4.0,Houston,548.0,497.0,1045.0,16.4,17.5,18.7,18.5,17.8,13287
galena park isd,2022,284346344.0,21400,North Shore Sr HS,Harris County,4.0,Houston,541.0,527.0,1068.0,16.6,17.7,19.1,18.8,18.2,13287
galena park isd,2022,284346344.0,21400,Galena Park ISD Career,Harris County,4.0,Houston,536.0,521.0,1057.0,16.1,17.2,18.4,18.0,17.5,13287
hays cisd,2022,223844927.0,21345,Moe and Gene Johnson HS,Hays County,13.0,Austin,503.0,487.0,991.0,23.2,22.6,24.3,23.4,23.5,10486
hays cisd,2022,223844927.0,21345,Jack C Hays HS,Hays County,13.0,Austin,512.0,488.0,1000.0,21.8,21.6,24.1,22.8,22.7,10486
hays cisd,2022,223844927.0,21345,Lehman HS,Hays County,13.0,Austin,478.0,451.0,929.0,21.2,21.8,24.0,22.8,22.7,10486
pearland isd,2022,208518344.0,20930,Pearland HS,Brazoria County,4.0,Houston,561.0,553.0,1114.0,23.2,23.8,24.4,23.2,23.8,9962
pearland isd,2022,208518344.0,20930,Robert Turner College and Career,Brazoria County,4.0,Houston,546.0,538.0,1084.0,19.8,20.5,22.9,20.4,21.1,9962
pearland isd,2022,208518344.0,20930,Glenda Dawson HS,Brazoria County,4.0,Houston,596.0,602.0,1198.0,26.3,26.3,27.3,26.5,26.7,9962
mcallen isd,2022,343050098.0,20282,Achieve ECHS,Hidalgo County,1.0,Edinburg,529.0,517.0,1046.0,24.4,22.4,29.4,23.8,25.2,16914
mcallen isd,2022,343050098.0,20282,McAllen HS,Hidalgo County,1.0,Edinburg,521.0,494.0,1014.0,21.9,20.5,23.0,22.3,22.0,16914
mcallen isd,2022,343050098.0,20282,Memorial HS,Hidalgo County,1.0,Edinburg,486.0,473.0,959.0,22.0,21.0,24.0,22.2,22.4,16914
mcallen isd,2022,343050098.0,20282,Rowe HS,Hidalgo County,1.0,Edinburg,497.0,482.0,979.0,20.6,20.3,23.0,21.6,21.5,16914
tomball isd,2022,204748002.0,20184,Tomball Star Academy,Harris County,4.0,Houston,581.0,569.0,1150.0,27.1,24.4,27.6,24.2,25.9,10144
tomball isd,2022,204748002.0,20184,Tomball Memorial HS,Harris County,4.0,Houston,544.0,548.0,1092.0,25.5,24.9,26.8,24.9,25.7,10144
tomball isd,2022,204748002.0,20184,Tomball HS,Harris County,4.0,Houston,516.0,515.0,1031.0,21.9,23.0,24.2,22.9,23.2,10144
laredo isd,2022,301428928.0,19716,Dr Leo Cigarroa HS,Webb County,1.0,Edinburg,440.0,425.0,865.0,14.3,15.6,16.2,16.7,15.8,15288
laredo isd,2022,301428928.0,19716,Martin HS,Webb County,1.0,Edinburg,443.0,428.0,871.0,15.3,17.2,17.6,17.0,16.9,15288
